Data,Model,Type,train_size,seed,best_ll,ground_ll,THD,node_types,edges,SHD,Recall,Precision
G5,SLGBN,Fixed,200,117,-3873.130069173093,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,127,-3717.732367301782,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,137,-3752.9635359303775,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,147,-3838.928468853518,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,157,-3719.0905629125855,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,167,-3811.225807841435,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,177,-3936.4646499594032,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,187,-3884.1727617409324,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,200,197,-3706.0328867543094,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,SLGBN,Fixed,1000,7,-3568.7912933064335,-3462.5341171511036,0,"{'A': 'linear', 'B': 'linear', 'C': 'nonlinear', 'D': 'nonlinear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
